id,myTime,myFramerate,myResolution,shaderTitle,shaderStatsLikes,shaderAuthorName,shaderAuthorDate,shaderStatsViewed,shaderDescription,shaderStatsComments
528,1.62,59.9 fps,420 x 236,Cellnoise Based Starfield. ,12,virtuosic,2018-07-21,12616,"Shader that generates ""stars"" based on a cell noise.

Left/Right mouse drag will increase the ""offset"" resulting in a star field. ",0
529,0.95,61.7 fps,420 x 236,Fractal Explorer,152,Dave_Hoskins,2016-01-09,12592,MOUSE click to turn. WASD (or cursor keys) to move. SPACE/SHIFT for speed up. Camera movement is click and drag.,47
530,2.30,60.0 fps,420 x 236,Texture - LOD,98,iq,2013-05-01,12580,"This shows how to select a mip level in a texture. Besides having advanced uses in sampling artifacts avoidance, it can also be used as a cheap way to get a textures box-blurred for free (useful for fake depth of field effects, for example).",10
531,0.88,62.6 fps,420 x 236,2D Voxels,95,nimitz,2014-06-10,12558,"Insipred by iq's ""Hexagons - distance"" (https://www.shadertoy.com/view/Xd2GR3).  

Any SDF can be used with the voxelize function, it also performs rather well with degenerate SDFs. Feel free to reuse for your shadertoys.",5
532,2.55,59.9 fps,420 x 236,Cheap Cloud Flythrough,211,Shane,2015-11-23,12567,"This is an attempt to give the impression of a cloud flythrough, whilst maintaining a reasonably acceptable framerate.",21
533,0.56,61.2 fps,420 x 236,Triangle Grid Contouring,292,Shane,2019-05-29,12563,Utilizing a 2D simplex grid to construct the isolines of a noise function.,20
534,0.30,0.7 fps,420 x 236,Fancy ties,93,nimitz,2015-04-08,12541,"Sorry about the flares, JJ made me do it.
I feel it's missing sound now.. ",18
535,1.95,59.9 fps,420 x 236,Volume raycasting,163,XT95,2013-02-27,12545,Simple raycasting into a cloud with one pass of light scattering.,4
536,1.08,60.0 fps,420 x 236,Ancient Tech,82,zackpudil,2016-12-14,12518,"Heavily inspired by this this.  Using the Apollonian fractal instead.

Note: Before going fullscreen comment out the #define AA line, it'll run much smoother.",7
537,0.84,59.9 fps,420 x 236,Better with explosion,82,Kyroaku,2015-07-31,12497,compo,8
538,0.90,60.0 fps,420 x 236,Radial Blur,155,iq,2013-01-02,12474,A GLSL version of the oldschool radialblur effect,3
539,0.65,61.9 fps,420 x 236,Atmospheric scattering explained,100,skythedragon,2019-08-29,12425,"A simple explanation of how atmospheric scattering works.
Drag the mouse to change the time of day!

The development repo of this shader: https://github.com/Dimev/atmospheric-scattering-explained
",12
540,1.81,60.0 fps,420 x 236,stochastic path tracer v1,161,otaviogood,2018-02-24,12409,"I tried my best to put the laws of physics into a shader.  This has many material properties. Proper reflection / refraction. Filtered light rays, like in the red glass. Gold has rgb reflectance. Emission. Diffuse / specular. Sub surface scattering.",10
541,2.13,60.1 fps,420 x 236,Lattice Boltzmann ,253,wyatt,2019-10-07,12386,It's really cool that you can represent a fluid as just up down left right energy,36
542,0.29,1.2 fps,420 x 236,pyroclastic explosion,151,simesgreen,2013-02-28,12375,explosion with pyroclastic noise,5
543,1.08,59.9 fps,420 x 236,Voronoi - rocks,92,iq,2013-04-13,12367,3D Voronoi (very slow!),10
544,1.00,62.0 fps,420 x 236,Hypnotic ripples,112,Cha,2013-02-15,12312,"Hypnotic ripples... yah...  usefeul comment sorry... XDD
Simple shader to start doing sth.",4
545,0.85,63.8 fps,420 x 236,Combination SDF,90,iq,2018-11-01,12332,"The three basic boolean operations that help combine shape, in discrete and smooth form. BEWARE these operators produce a bound to the real SDF of the final shape, so they will slow down your raymarcher.",5
546,2.15,60.0 fps,420 x 236,Protophore,228,otaviogood,2015-04-07,12290,I put together this fractal and then watched some tutorials on how to light sports cars for photography. I think the key is to get the giant softbox up top with just the right fade at the edges. I also ray march 1 reflection.,14
547,1.16,59.9 fps,420 x 236,Wave Propagation Effect,211,tomkh,2016-01-05,12286,A simple water propagation effect based on PolyCube version http://polycu.be/edit/?h=W2L7zN,16
548,0.00,00.0 fps,420 x 236,Path tracing cornellbox with MIS,131,cschied,2017-09-01,12229,path tracing in the cornell box,6
549,0.00,00.0 fps,420 x 236,Tree in the wind,329,Maurogik,2020-04-09,12165,"Falling leaves and a full day/night cycle.
Once again, it started as a simple tree experiment and got complicated really fast.",52
550,1.44,59.9 fps,420 x 236,Worley Hyperdisc - Ocean Planet,72,CaliCoastReplay,2016-08-05,12150,"3rd mix of the Worley noise shader at https://www.shadertoy.com/view/Xl33Wn , the hyperbolic disc from : https://www.shadertoy.com/view/XllSWf , and starfield from https://www.shadertoy.com/view/4scXWB .  Try it at high-res!",17
551,0.74,60.0 fps,420 x 236,Simplicity,272,JoshP,2013-05-07,12147,Beauty in simplicity.,18
552,0.33,0.6 fps,420 x 236,Ray Tracing - Primitives,180,reinder,2019-06-03,12142,"This is a collection of ray-primitive intersection routines (by Íñigo Quílez).

Use your mouse to change the camera viewpoint.",18
553,1.95,59.9 fps,420 x 236,Fractal music,32,Aj_,2018-02-14,12114,"Testing music integration into one of my previous shaders.
Original https://www.shadertoy.com/view/llSSDV",3
554,1.47,60.0 fps,420 x 236,Sphere - antialias,152,iq,2014-11-14,12101,Analytical antialiasing for raytraced spheres. Only one ray/sample per pixel is casted. This shader also uses analytical ambient occlusion and analytical soft shadows.,7
555,1.82,59.9 fps,420 x 236,Flower,73,iq,2013-06-26,12086,"A simple flower (made in a rush really). I'm not very sure about the colors. It probably needs bump, a second layer of petals, some pistils, leaves, and a lady bug. Will do next time!",7
556,1.31,60.0 fps,420 x 236,Light Propagation Volume,184,paniq,2016-03-08,12035,"diffuse illumination with occlusion and infinite bounces using a single 32^3 light propagation volume. Implemented after ""Light Propagation Volumes in CryEngine 3"", Kaplanyan",21
557,1.62,60.0 fps,420 x 236,Bilateral filter,79,mrharicot,2013-05-11,12039,"And another filter!
You can drag the active zone using the mouse.",11
558,1.00,45.7 fps,420 x 236,Squishy Donut Cat,29,dean_the_coder,2020-09-05,12021,"Just a squishy donut cat, based on a drawing by my daughter (Misha). 

Based on my 'Blender donut' (https://www.shadertoy.com/view/ttfyWB).",18
559,0.76,60.0 fps,420 x 236,Simple Bloom/Glow (white),40,Seven,2013-04-26,12002,Very simple implementation of a white glow/bloom. Added pulse with time for effect.,0
560,0.00,00.0 fps,420 x 236,Candy Crush,158,ciberxtrem,2016-03-29,11961,"* Click to the first candy and then click to the second to replace it !
* Make the most points ;)",51
561,1.41,60.0 fps,420 x 236,TEST 2,6,andypicci,2020-01-29,11942,tes ,0
562,0.91,56.6 fps,420 x 236,Eye of Sauron,106,Dave_Hoskins,2013-12-24,11918,The Eye of Sauron from the Lord of the Rings film.,8
563,2.23,60.1 fps,420 x 236,Descent 3D,224,mhnewman,2019-09-01,11928,"I always wanted to do a 3D version of Descent - https://www.shadertoy.com/view/XtSGWD
Uses the same grid marching engine as Glow City - https://www.shadertoy.com/view/XlsyWB

Try enabling BLACK_AND_WHITE or FAST_DESCENT",20
564,1.95,60.1 fps,420 x 236,cinetunnel,8,tomviolin,2020-10-11,11925,"for cineshader

",0
565,0.94,59.9 fps,420 x 236,Star Field Steps,3,virtuosic,2018-07-22,11869,A shader demonstrating the steps taken to achieve the star field effect.,0
566,1.36,60.1 fps,420 x 236,Vortex Street,90,dr2,2015-03-19,11857,Visualizing part of an endless train of vortices (see source for previous work).,10
567,0.99,55.1 fps,420 x 236,Neural Stanford Bunny (5 kb),244,blackle,2021-01-28,11862,"my suspicions that mat4 multiplies and sines are really fast on the gpu are confirmed yet again

explainer: https://youtu.be/8pwXpfi-0bU",70
568,2.19,60.0 fps,420 x 236,digitalflow,12,vdmo,2020-07-15,11878,experiments of course darling ;) ,1
569,0.83,60.1 fps,420 x 236,Noise - Value - 3D - Deriv,27,iq,2017-05-14,11849,Analytic derivatives for 3D Value Noise (https://www.shadertoy.com/view/4sfGzS). Gradient noise version here: https://www.shadertoy.com/view/4dffRH,2
570,0.40,0.7 fps,420 x 236,Commodore 64,131,hubbe,2016-04-21,11833,"10 PRINT ""HELLO WORLD!""
20 GOTO 10
LIST
RUN
",35
571,2.56,60.0 fps,420 x 236,Iterations - trigonometric,119,iq,2013-03-16,11850,"Trigonometric iterations. Or, some abstract stuff inspired made after Pickover's popcorn formulas.",4
572,0.28,0.9 fps,420 x 236,Cloudy stuff,70,Nrx,2015-10-12,11806,Study of how to render cloudy stuff... I basically simplified Duke's Cloudy spikeball and merged it with the model I used for my Love Tunnel.,6
573,1.87,60.1 fps,420 x 236,Simple path tracer,122,reinder,2014-12-23,11791,"This shader shows the difference between a path tracer with, and without, direct light sampling.",20
574,2.47,60.0 fps,420 x 236,Raaaainbowwww,13,atzmael,2019-10-03,11806,My first shader created with the help of book of shader,5
575,2.58,60.0 fps,420 x 236,SEXC CAR1256,1,hahafunny12356,2020-10-22,11766,The actual shader is here: https://cineshader.com/view/WsVyzc,7
576,0.84,60.0 fps,420 x 236,The Disco Tunnel,66,poljere,2014-08-22,11687,2D tunnel with LEDs that react to music,4
577,1.71,60.0 fps,420 x 236,Torus_Thingy_8,191,balkhan,2018-01-10,11684,Another one,20
578,2.13,60.0 fps,420 x 236,Jumper,5,giezu,2019-11-23,11693,"Visualisation based on capsule - JUMPER music video.

Twitter: @kmgiezu

capsule - JUMPER
https://www.youtube.com/watch?v=_nUbhbEp65s",0
579,2.16,60.0 fps,420 x 236,enlightened dark cloud,178,FabriceNeyret2,2013-06-22,11664,"Mouse moves the light direction.
This is a test of analytical estimation of light scattering within a thin layer. 
Defaut: gradient density within a ""skin""; no account of curvature.",20
580,2.46,60.0 fps,420 x 236,post: Barrel Blur Chroma,142,hornet,2013-03-05,11644,"Simulates Chromatic Aberration by linearly interpolating blur-weights from red to green to blue.
Original idea by Kusma: https://github.com/kusma/vlee/blob/master/data/postprocess.fx",7
581,0.99,62.4 fps,420 x 236,Dimensional clock,3,nodo,2020-01-28,11661,https://cineshader.com/view/3tG3Rm,0
582,1.20,60.0 fps,420 x 236,DJMusicBall,11,leneer,2018-04-26,11640,test,1
583,2.38,59.9 fps,420 x 236,Twisted Columns,185,iq,2015-05-07,11661,"Based on Flyguy's ""Ring Teister"" Xt23z3. I didn't write this effect since around 1999. Only now it's antialiased, motion blurred, texture filtered and high resolution. Uncomment line 40 to see the columns.",6
584,2.16,60.0 fps,420 x 236,Coming Alive,2,NinaFranziska,2020-02-05,11590,"static but alive, mesmerizing and alienating",1
585,1.58,60.0 fps,420 x 236,♫ Sailing Beyond - Hyper Tunnel,185,patu,2019-04-08,11565,"This is the aggressive version of tunnel from my PC intro ""Sailing Beyond"".
Music used here is ""Xara"" by Effect (https://soundcloud.com/neurofunksocietyofpoland/effect-xara-clip)
",21
586,1.34,60.0 fps,420 x 236,Lake in highland,77,FishMan,2018-04-19,11548,move mouse to look around,16
587,2.54,60.0 fps,420 x 236,Truchet Tiles Test,4,tonywu,2020-01-30,11560,for test,0
588,2.59,60.0 fps,420 x 236,Viscous Fingering,250,cornusammonis,2016-01-08,11527,Fluid-like continuous cellular automata.,27
589,1.51,60.0 fps,420 x 236,sacred shrubs,4,ukeyshima,2019-02-05,11538,sacred shrubs,0
590,0.85,60.0 fps,420 x 236,Social Distancing Festival,0,positronmusic,2020-05-13,11527,Waiting for the live performance,2
591,0.85,60.0 fps,420 x 236,Relentless,189,srtuss,2013-09-09,11475,Collecting some design ideas for a new game project. Heavily inspired by movAX13h's io shader. Thanks to iq for his ray-plane-intersection code.,15
592,0.64,63.3 fps,420 x 236,tet2cube,2,gyabo,2015-12-14,11492,Study.,2
593,1.40,60.1 fps,420 x 236,Quadratic Bezier - distance 2D,63,iq,2018-09-08,11462,"Distance to a quadratic Bezier segment, which can be computer analytically by solving a cubic equation.",19
594,1.44,60.0 fps,420 x 236,Post-Processing: Toon Shading,100,hughsk,2016-01-31,11442,"Toon shading â€” outlines achieved using edge detection on normals/depth in post. The raymarching buffer stores normals in RGB, and depth in A.",13
595,1.48,59.9 fps,420 x 236,Otherworldy,13,lherm,2017-02-06,11400,Finally starting to understand the art of the short raymarch,4
596,0.19,1.0 fps,420 x 236,Single Scattering,147,koiava,2015-03-26,11363,"Example shows equiangular sampling technique for multiple spherical lights.
features:
Single scattering,
Torrance-Sparrow illumination model for surfaces,
Homogeneous Media,
Depth of Field,
camera and object Motion Blur.",11
597,0.00,00.0 fps,420 x 236,Music - Harry Potter,80,iq,2014-07-30,11352,"Experiment for sequencing a simple melody (the instrument is simple too). So there, Hedwig's Theme from Harry Potter) generated completely in a GPU shader!",16
598,0.82,60.0 fps,420 x 236,Worley Noise Waters,101,Kyle273,2015-04-29,11346,A simple Worley noise shader. Full tutorial at ibreakdownshaders.blogspot.com. Original shader from  http://glslsandbox.com/e#23237.0,3
599,1.39,60.0 fps,420 x 236,Homeward,228,Dave_Hoskins,2017-12-15,11322,"OK, it's feathers aren't quite the right shape for a crow, but hey...
It takes advantage of WebGL2 and buffers. All the stuff that is done multiple times for each pixel, like animation, is put into A as single pixel calculations
",59
600,2.24,60.0 fps,420 x 236,Bokeh Paralax,181,knarkowicz,2017-04-12,11311,Feeling artsy,6
601,0.43,1.1 fps,420 x 236,Quadratic Bezier - distance,115,iq,2013-12-19,11306,"Intersecting quadratic Bezier segments in 3D. Used Microsoft's paper as pointed out by tayholliday in https://www.shadertoy.com/view/XsX3zf. Since 3D quadratic Bezier segments are planar, the 2D version can be used to compute the distance to 3D curves.",16
602,0.00,00.0 fps,420 x 236,Then and Before - PC4k by Altair,269,KK,2019-09-04,11269,"4k PC intro released at Xenium 2019

Download/pouet: https://www.pouet.net/prod.php?which=82778",26
603,0.00,00.0 fps,420 x 236, [SIG15] Oblivion,157,Dave_Hoskins,2015-07-18,11232,"The Oblivion drone. I love all the scenes that include these things.
PLEASE REWIND ON FIRST LOAD [|<], to make sure audio is in sync.
""Tech 4-9, Jack Harper!!!""",37
604,1.41,59.9 fps,420 x 236,Refraction + post proc,151,mrange,2022-09-05,11243,"CC0: Refraction + post proc
Added a bit of post processing to the earlier refraction experiment
",10
605,1.07,60.0 fps,420 x 236,Simple vignette effect,41,Ippokratis,2016-05-21,11218,A simple vignette shader,3
606,2.34,60.0 fps,420 x 236,curtain and ball,289,archee,2016-12-17,11187,"This is my xmas present to the Shadertoy community.
Cloth simulation of 128x64 vertex. Wind, collision. 60fps on gtx970
Rendered as 1024x512 voxels with spatial tree. I have never seen this rendering method in Shadertoy.
",48
607,2.38,60.1 fps,420 x 236,barebones ray marching,10,nicoptere,2015-12-10,11178,this is a miniaml example of ray marching used as an illustration for this article: http://barradeau.com/blog/?p=575,0
608,0.00,00.0 fps,420 x 236,Gamecube,81,fb39ca4,2013-09-13,11157,"Phew. That took a while to get looking right. I apologize for the lack of optimization. Anyone good at doing text? All that's missing is the words ""Nintendo Gamecube.""

If it doesn't work and you are using Windows, please disable ANGLE in your browser. ",6
609,1.31,60.0 fps,420 x 236,CSG basics,2,nicoptere,2015-12-10,11150,this is a basic example of how to combine 2 shapes to illustrate this article: http://barradeau.com/blog/?p=575,1
610,0.97,63.5 fps,420 x 236,Triangle - distance 3D,53,iq,2014-04-11,11150,"Distance field to a triangle. Of course, some thickness has to be given to the polygon (or mesh if you had one) in order to make it renderable. http://iquilezles.org/articles/triangledistance/triangledistance.htm",8
611,2.59,59.9 fps,420 x 236,Displacement with Dispersion,250,cornusammonis,2016-08-16,11108,Displacement mapping with chromatic dispersion. The displacement vectors are supplied by an underlying dynamical system. Click to paint.,14
612,1.79,60.0 fps,420 x 236,Curve fitting,100,Dave_Hoskins,2013-09-16,11105,"Just some basic curve fitting algorithms. If I've got anything wrong, or you'll like to add some other splines, please comment below.   I think Catmull-Rom wins the best curve so far.",18
613,1.55,59.9 fps,420 x 236,Plasma Triangle,96,ElusivePete,2013-05-29,11047,3 points of a glowing triangle orbit round each other. Sine waves with various coefficients define the orbits. The links are rendered by using dot products to determine how close a given fragment is to the edge of the triangle.,2
614,0.87,53.3 fps,420 x 236,Image - Audrey,89,iq,2013-05-11,11030,"If you were entrusted to portray Audrey Hepburn (you've seen ""Breakfast at Tiffany's"") BUT asked to do it in no more than 316 brushstrokes you'd surely have to be very careful on your choice of strokes! (you'll only see 201 in the code thanks to symmetry)",7
615,2.09,59.9 fps,420 x 236,Hexagonal Maze Flow,262,Shane,2017-10-21,11020,A Truchet pattern flowing through a hexagonal maze. It's a 2D effect rendered in a faux 3D style.,34
616,0.70,60.0 fps,420 x 236,Water,137,bitek,2013-04-13,11024,A simple water shader.,11
617,0.08,1.0 fps,420 x 236,Sphere FBM Terrain,134,iq,2019-11-17,10937,Creating a terrain using only sphere SDFs doesn't suffer from marching artifacts. Article about this technique: https://iquilezles.org/articles/fbmsdf/fbmsdf.htm. Video render: https://www.youtube.com/watch?v=mCdlfdpN-AM,20
618,0.85,62.3 fps,420 x 236,[SH16A] Challenge,13,shadertoy,2016-07-03,10931,Make the code as small as you can while maintaining content equivalence (less than a 1% of different looking pixel are allowed to accommodate for precision errors. See https://www.shadertoy.com/events/competition2016 for more info.,84
619,1.99,60.0 fps,420 x 236,Triangle - distance 2D,99,iq,2014-04-10,10887,"Signed Euclidean distance to a triangle (negative in the inside, positive in the outside). Note there's only one square root involved.",6
620,2.37,60.1 fps,420 x 236,Antialias / filtering,83,iq,2014-07-18,10842,Used filter width (fwidth) to antialias edges (no supersampling). See the jagged edges in the left side of the screen vs the smooth edges in the right side. Both pre and post gamma filtering are implemented (move mouse to change the areas),17
621,0.89,59.9 fps,420 x 236,Golfing Ether - 369 chars,67,GregRostami,2018-01-31,10845,"I'm trying to get nimitz's amazing Ether down to two tweets:
https://www.shadertoy.com/view/MsjSW3
Please help me reduce this shader. Thank you.",41
622,0.71,60.1 fps,420 x 236,Color Temperature,22,renaudbedard,2014-09-22,10832,"Color temperature (kelvin) to RGB subroutine ported from VB.NET (!) code by Tanner Helland (see code header for credits).
Drag on X (left half of the screen) to set the blending factor, drag on Y to change the color temperature.",9
623,0.61,59.9 fps,420 x 236,Synaptic,317,nimitz,2016-03-09,10809,"Storing positions allows for non parametric particle movement and working with velocities allows for multiple draws per frame, which in turns allows for better rendering.",16
624,0.00,00.0 fps,420 x 236,[SIG15] Fight Club End Scene,138,movAX13h,2015-08-09,10801,"With your feet in the air and your head on the ground, try this trick and spin it, yeah.
Partial making of (screen capture of movAX13h, 30 videos): http://bit.ly/1IC3exn",21
625,0.76,60.0 fps,420 x 236,Motion Blur Visualization,183,HLorenzi,2014-04-10,10805,"Importance of motion blur under three different frame rates (60, 30 and 15 FPS -- Shadertoy must be running at full 60 FPS for correct blurring). You can click on the shader to hide the jittering or the blurred circles.",1
626,2.27,60.1 fps,420 x 236,Chroma key,24,Zavie,2013-05-28,10792,A very rough chroma key incrustation test.,3
627,0.07,0.4 fps,420 x 236,Balls and occlusion,47,iq,2013-10-13,10785,A few spheres with raytraced ambient occlusion.,5
628,0.32,0.4 fps,420 x 236,Fruxis (made in 2012),86,iq,2013-08-25,10748,This is the distance field source code for the  procedural image I made a year ago or so. I had to simplify the shaders and lighting a lot in order to get this to compile in WebGLSL.,17
629,0.97,60.0 fps,420 x 236,sha1er,3,xvart,2020-02-03,10768,"was a checker board, not anymore.

https://cineshader.com/view/3t3XDr",6
630,1.29,60.0 fps,420 x 236,First Raymarches,91,cacheflowe,2016-01-24,10732,My first real attempt at drawing with raymarching functions. Thanks to everybody who helps beginners like me understand this stuff ,21
631,1.08,60.1 fps,420 x 236,Black hole with accretion disk,115,set111,2019-04-12,10759,"An improved version of a fairly fast black hole shader that I made for a small VR project a while ago.
Use the mouse to zoom in/out and rotate.

Congrats to the Event Horizon Telescope team!",23
632,1.68,60.0 fps,420 x 236,Buffer pass bloom,113,robobo1221,2017-07-30,10736,This bloom is extracted from my shaderpack: http://www.robobo1221.net/,3
633,0.00,00.0 fps,420 x 236,OceanView,79,kuvkar,2017-05-07,10683,A day at sea.,17
634,0.38,0.6 fps,420 x 236,Terminator,164,and,2014-10-22,10653,Sample based image compression and FM sound synthesis,25
635,0.27,0.6 fps,420 x 236,Volumetric Stanford Bunny,146,SebH,2017-03-25,10626,"Volumetric 32x32x32 Stanford Bunny with volumetric lighting, shadow and noise.
The shader does not compile on some platform for some reason. Set ""VOLUME_FILTERING_NEAREST 1"" can fix that issue (Thanks Fabrice for the investigation).",43
636,1.20,60.0 fps,420 x 236,Hash Functions for GPU Rendering,167,markjarzynski,2018-08-30,10637,"Comparing different hash functions for GPU Rendering.
See the full paper at: http://www.jcgt.org/published/0009/03/02/
Watch our presentation at I3D 2021, 20 April 2021. https://www.youtube.com/watch?v=dwi5qJ6oPjE&t=7958s",21
637,0.69,61.1 fps,420 x 236,Gabor^2,148,mattz,2015-08-31,10591,"Zsa Zsa Gabor, rendered with 128 Gabor functions. 

More technical details at https://mzucker.github.io/2016/08/01/gabor-2.html",27
638,0.40,1.1 fps,420 x 236,Infinite Hermite Rectangles,87,demofox,2015-08-09,10559,"Based on https://www.shadertoy.com/view/ltsXzl, but extended to multiple squares.  Each checkerboard square is a cubic hermite rectangle.  Could add lower frequency sine waves to look better maybe.",9
639,1.66,59.9 fps,420 x 236,textured ellipsoids,240,FabriceNeyret2,2014-05-11,10551,"S: toggles sky  SPACE: decompos
 
In Siggraph'85, Gardner proposed a smart way to fake hypertextures with simple ellipsoids.
The secret is to have transparency (or the density noise) vanishing at silhouettes, i.e., view-dep (e.g. based on dot(N,Eye) ).",18
640,2.31,60.1 fps,420 x 236,accelerated ray marching,55,nshelton,2017-01-21,10507,"accelerated sphere tracing ?? is it any faster??? see ""omega"" variable

marching loop implements the optimization here : http://erleuchtet.org/~cupe/permanent/enhanced_sphere_tracing.pdf",12
641,0.13,0.6 fps,420 x 236,in my crawl space,215,Virgill,2019-07-22,10503,"Shadertoy port of our windows 4k intro.
1st @ Nordlicht 2019
Code by Virgill & KK,
music by Virgill

https://www.pouet.net/prod.php?which=82169

https://www.youtube.com/watch?v=jw-nC5bINFc",27
642,0.24,0.9 fps,420 x 236,Rainy London,122,Dave_Hoskins,2014-03-06,10492,"Thanks to P_Malin for doing the model locations. I've re-used quite a lot of that code to start this, and added some furniture.
Uses rain sheets that catch the light sources, note the orange rain when near the bollard. Plus distance blurring of texture.",17
643,0.00,00.0 fps,420 x 236,h e e e l i x,277,tdhooper,2018-04-02,10489,"My entry for the Revision 2018 Animated GIF Compo (1st place \o/), with an extra bit of post process that blew the file size limit.

Uncomment ANOTHER_LEVEL to go deeper",23
644,1.71,59.7 fps,420 x 236,Mist by Ohno! - part2,167,lsdlive,2019-01-30,10393,"This is my part for ""Mist"" by Ohno, a 4 kilobytes demo released at the Cookie 2018.

pouet: http://www.pouet.net/prod.php?which=79350
youtube: https://www.youtube.com/watch?v=UUtU3WVB144

Code/Graphics: Flopine
Code/Graphics: Lsdlive
Music: Triace",14
645,1.33,59.9 fps,420 x 236,Protoplanetary disk,182,Duke,2016-01-03,10383,"Based on Dusty nebula 1 and Shane's Cheap Cloud Flythrough shaders.
Press 1-2-3 to zoom in and zoom out.",23
646,2.12,60.0 fps,420 x 236,Fractal Explorer Multi-res.,166,Dave_Hoskins,2016-01-30,10350,"Mandalay fractal. USE WASD/CURSOR KEYS AND MOUSE.
Thanks to 'rebb' for the fractal formula reference in Fractal city_242.
Uses multi-resolution rendering for speed up.",33
647,0.93,62.2 fps,420 x 236,rm -f,97,shau,2018-04-01,10358,Playing with fractal by GUIL (again),13
648,0.00,00.0 fps,420 x 236,A lonely diamond...,110,Nrx,2015-07-16,10346,"Variation of my original Diamonds are Forever.
Use the mouse (X axis) to change the shape.",25
649,1.01,60.0 fps,420 x 236,Fisheye / antifisheye,65,SanchYESS,2013-10-25,10320,"Input parameter: ""power"", output effect: fisheye or fisheye correction of input texture. Should work with different proportions.
Origins from http://stackoverflow.com/questions/6030814/add-fisheye-effect-to-images-at-runtime-using-opengl-es",2
650,2.42,60.0 fps,420 x 236,SmoothLife(L) ,144,chronos,2017-01-21,10309,"SmoothLife by Stephan Rafler, a continuous analog of Conway's Game of Life.
My favorite cellular automaton / reaction diffusion like system, due the continuous rules and emergent behavior:
frequent gliders, connective ribbons which contract, etc.",11
651,2.37,60.1 fps,420 x 236,Physically-based SDF,177,romainguy,2017-01-08,10259,"Signed distance fields, SH-indirect lighting, Cook-Torrance specular BRDF (GGX NDF/Height-correlated Smith visibility term/Schlick Fresnel), Burley diffuse BRDF (""Disney""), approximated ACES tone-mapping, fog",13
652,0.00,00.0 fps,420 x 236,Flight over Bespin,97,yamahabob,2015-10-04,10244,"My first published shader, which is borrowing heavily from other great works on this fantastic site.  I have no idea what I'm doing...",6
653,0.00,00.0 fps,420 x 236,Super Shader GUI 98,168,P_Malin,2017-05-08,10206,"Shadertoy UI framework.
UI processing and UI data in Buf A. Values read and UI composited simply in image shader.
Data configuration and window layout logic at the end of Buf A.
For more example usage see: https://www.shadertoy.com/view/Msffzn",44
654,1.60,60.0 fps,420 x 236,[NV15] DIY Spaceman Cave,89,eiffie,2015-03-20,10188,You can tell your under pressure when you turn to glow.,4
655,1.93,60.0 fps,420 x 236,Image Based PBR Material,203,Bers,2016-03-07,10183,"Importance sampling is used, since no cubemap mipmap available for blurry reflections. Cubemap sampling was HDR-ized and gamma balanced.",12
656,0.00,00.0 fps,420 x 236,[SH16C] Stubble Bobble,88,stubbe,2016-07-20,10145,"As much of the old classic as I could reimplement in GLSL in a week. I think I managed to cover most of the essential features. Unsurprisingly, the gameplay logic would prove to be the real challenge.

Arrows + Space.",33
657,0.00,00.0 fps,420 x 236,[SH18] Woman,186,reinder,2018-08-10,10149,"I wanted to create an organic-looking SDF scene in a single, fully procedural, fragment shader.",34
658,0.28,1.1 fps,420 x 236,Julia - Quaternion 3,147,iq,2020-06-26,10168,"The cubic Julia set used in the introduction of my video ""Geodes"" (https://www.shadertoy.com/view/3llyzl). It has 3 bounces of super simple GI (no specular) and some temporal reprojection to remove noise.",15
659,2.21,59.9 fps,420 x 236,Matrix Rain Shader,125,raja,2014-05-01,10141,Matrix Rain,6
660,0.57,61.1 fps,420 x 236,Light and Motion,45,dr2,2018-04-17,10140,"Playing around with ideas from Kali's ""Generators"" shader resulted in this... ",4
661,0.00,00.0 fps,420 x 236,Kelp Forest,168,BigWIngs,2016-11-08,10128,"Use the mouse to look around. 
If you want to see just the fish you can set the FISH_ONLY define to true. 
The full effect brings my titan card to it's knees on fullscreen. To get a decent framerate you can turn the bubbles and the kelp off.",27
662,1.76,59.7 fps,420 x 236,SH - visualizer,109,iq,2014-05-15,10116,Four bands of Spherical Harmonics functions (or atomic orbitals if you want). For reference and fun. This shader is featured in Wikipedia: https://en.wikipedia.org/wiki/Spherical_harmonics,11
663,1.02,60.1 fps,420 x 236,Sphere FBM,167,iq,2019-11-13,10118,"Carving a series of sphere fields of higher frequencies and smaller sizes. Unlike simply doing an FBM displacement on a solid, this yields a distance field (bound).",16
664,2.32,59.9 fps,420 x 236,Camera Obsession #1,140,WAHa_06x36,2014-05-07,10112,Playing around with camera calculations of varying levels of accuracy. Circles of confusion and totally fake diffraction stars for point lights.,5
665,1.18,60.0 fps,420 x 236,Sketch Drawing,73,culdevu,2017-06-09,10097,"I wanted to do a chalkboard shader, but that was hard. So I did a pencil-paper one instead. Kinda simple, not too much crazy stuff.",1
666,0.15,1.0 fps,420 x 236,Moonlight,120,reinder,2013-03-25,10087,"If your using a Mac or Linux please uncomment line 1 to view the full shader with mountains and a floating bottle (screenshot: http://imgur.com/KKPZsj4). 

Part of the code is copy-pasted from shaders by inigo quilez and dave hoskins.",23
667,2.27,60.1 fps,420 x 236,Racing Concept (in car),66,eiffie,2016-02-24,10064,This is a 3d version of Racing Concept by Imp5. (link in comments) I tried to keep it close to the original and fast.,24
668,0.98,60.0 fps,420 x 236,Julia - Distance 1,93,iq,2013-03-09,10064,Analytical distance to a Julia set. More info here: https://iquilezles.org/articles/distancefractals/distancefractals.htm,4
